gather_column,trace_id,array_row,observed,held_out,sample_index,time_s,truth,observed_trace_rms_prediction,train_global_rms_prediction,truth_minus_train_global_rms
0,2093066,2093066,True,False,0,0.0,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,1,0.008,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,2,0.016,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,3,0.024,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,4,0.032,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,5,0.04,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,6,0.048,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,7,0.056,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,8,0.064,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,9,0.07200000000000001,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,10,0.08,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,11,0.088,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,12,0.096,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,13,0.10400000000000001,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,14,0.112,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,15,0.12,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,16,0.128,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,17,0.136,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,18,0.14400000000000002,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,19,0.152,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,20,0.16,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,21,0.168,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,22,0.176,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,23,0.184,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,24,0.192,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,25,0.2,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,26,0.20800000000000002,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,27,0.216,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,28,0.224,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,29,0.232,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,30,0.24,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,31,0.248,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,32,0.256,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,33,0.264,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,34,0.272,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,35,0.28,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,36,0.28800000000000003,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,37,0.296,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,38,0.304,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,39,0.312,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,40,0.32,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,41,0.328,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,42,0.336,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,43,0.34400000000000003,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,44,0.352,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,45,0.36,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,46,0.368,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,47,0.376,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,48,0.384,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,49,0.392,0.0,0.0,0.0,0.0
0,2093066,2093066,True,False,50,0.4,0.0,0.0,0.0,0.0
