trace_id,time_s,physical_amplitude
432647,0.0,0.0
432647,0.008,0.0
432647,0.016,0.0
432647,0.024,-0.5247741937637329
432647,0.032,-4.329387664794922
432647,0.04,-28.73138427734375
432647,0.048,-136.966064453125
432647,0.056,-469.148193359375
432647,0.064,-1100.58251953125
432647,0.07200000000000001,-1570.51806640625
432647,0.08,-699.91748046875
432647,0.088,1981.54736328125
432647,0.096,4298.6875
432647,0.10400000000000001,3189.83984375
432647,0.112,-640.6181640625
432647,0.12,-3066.255615234375
432647,0.128,-2298.117431640625
432647,0.136,-473.608642578125
432647,0.14400000000000002,410.111083984375
432647,0.152,463.11328125
432647,0.16,293.611083984375
432647,0.168,33.06077575683594
432647,0.176,-215.68218994140625
432647,0.184,-217.2565155029297
432647,0.192,14.69367790222168
432647,0.2,182.6214141845703
432647,0.20800000000000002,136.04771423339844
432647,0.216,14.431290626525879
432647,0.224,-43.29386901855469
432647,0.232,-44.868194580078125
432647,0.24,-25.845123291015625
432647,0.248,4.854161262512207
432647,0.256,18.23590087890625
432647,0.264,-0.7871612906455994
432647,0.272,-7.478032112121582
432647,0.28,11.020257949829102
432647,0.28800000000000003,4.985355377197266
432647,0.296,-18.891876220703125
432647,0.304,-7.215644836425781
432647,0.312,18.629486083984375
432647,0.32,6.034902572631836
432647,0.328,-17.317550659179688
432647,0.336,-2.755064010620117
432647,0.34400000000000003,16.26800537109375
432647,0.352,-0.39358067512512207
432647,0.36,-13.381741523742676
432647,0.368,4.066999435424805
432647,0.376,9.314742088317871
432647,0.384,-7.740419387817383
432647,0.392,-5.24774169921875
432647,0.4,10.4954833984375
432647,0.40800000000000003,2.0990962982177734
432647,0.41600000000000004,-11.413838386535645
432647,0.424,0.6559677124023438
432647,0.432,10.88906478881836
432647,0.44,-3.1486454010009766
432647,0.448,-9.445935249328613
432647,0.456,4.854161262512207
432647,0.464,7.478032112121582
432647,0.47200000000000003,-5.510128974914551
432647,0.48,-5.641323089599609
432647,0.488,4.985355377197266
432647,0.496,4.329387664794922
432647,0.504,-3.673419952392578
432647,0.512,-3.2798385620117188
432647,0.52,2.623870849609375
432647,0.528,2.755064010620117
432647,0.536,-2.230290412902832
432647,0.544,-3.1486454010009766
432647,0.552,1.9679031372070312
432647,0.56,3.8046131134033203
432647,0.5680000000000001,-3.1486454010009766
432647,0.5760000000000001,-7.478032112121582
432647,0.584,1.9679031372070312
432647,0.592,11.413838386535645
432647,0.6,7.609226226806641
432647,0.608,1.836709976196289
432647,0.616,-1.7055158615112305
432647,0.624,-16.005615234375
432647,0.632,-26.5010986328125
432647,0.64,-3.8046131134033203
432647,0.648,29.912124633789062
432647,0.656,24.795578002929688
432647,0.664,-7.084451675415039
432647,0.672,-15.349645614624023
432647,0.68,-2.361483573913574
432647,0.6880000000000001,-0.39358067512512207
432647,0.6960000000000001,-2.886258125305176
432647,0.704,5.903709411621094
432647,0.712,9.05235481262207
432647,0.72,-1.1807422637939453
432647,0.728,-4.460580825805664
432647,0.736,-0.918354868888855
432647,0.744,-6.953258514404297
432647,0.752,-9.183547973632812
432647,0.76,7.609226226806641
432647,0.768,16.5303955078125
432647,0.776,-1.836709976196289
432647,0.784,-15.612031936645508
432647,0.792,-2.230290412902832
432647,0.8,10.5244140625
432647,0.808,2.870492935180664
432647,0.8160000000000001,-4.577580451965332
432647,0.8240000000000001,1.0095672607421875
432647,0.8320000000000001,3.6060352325439453
432647,0.84,-3.536982536315918
432647,0.848,-5.7763872146606445
432647,0.856,2.238093376159668
432647,0.864,6.805185317993164
432647,0.872,0.17263168096542358
432647,0.88,-6.436321258544922
432647,0.888,-2.4863338470458984
432647,0.896,4.044388771057129
432647,0.904,1.6891679763793945
432647,0.912,-3.2869949340820312
432647,0.92,0.2657216787338257
432647,0.928,5.437679290771484
432647,0.936,0.8566027879714966
432647,0.9440000000000001,-5.4752655029296875
432647,0.9520000000000001,-1.895014762878418
432647,0.96,3.142333984375
432647,0.968,-0.0607488714158535
432647,0.976,-1.5025510787963867
432647,0.984,3.6768360137939453
432647,0.992,1.6563901901245117
432647,1.0,-6.595404624938965
432647,1.008,-3.001605987548828
